Date,stocks,gold,bonds,property
2012-01-26,131.8800,167.2700,110.3600,61.8400
2012-01-27,131.8200,168.9700,110.5400,61.8600
2012-01-30,131.3700,168.0300,110.8600,61.4000
2012-01-31,131.3200,169.3100,111.0500,61.7000
2012-02-01,132.4700,169.5600,110.5800,62.3100
2012-02-02,132.6800,171.0500,110.6100,62.4500
2012-02-03,134.5400,167.6400,110.5600,63.3200
2012-02-06,134.4500,167.1800,110.6400,63.1200
2012-02-07,134.7900,169.7000,110.5300,62.9600
2012-02-08,135.1900,168.5000,110.4400,63.0700
2012-02-09,135.3600,168.0200,110.2600,62.6100
2012-02-10,134.3600,167.1400,110.4100,62.0300
2012-02-13,135.3600,167.5100,110.4500,62.6600
2012-02-14,135.1900,167.1200,110.5400,62.0200
2012-02-15,134.5600,168.1100,110.5000,61.6500
2012-02-16,136.0500,168.0000,110.4800,62.3000
2012-02-17,136.4100,167.3500,110.3400,62.3500
2012-02-21,136.4700,171.0200,110.1700,61.3800
2012-02-22,136.0300,172.9400,110.4800,60.8600
2012-02-23,136.6300,173.0200,110.5700,61.6200
2012-02-24,136.9300,172.2300,110.6000,61.7000
2012-02-27,137.1600,171.7000,110.9500,61.6000
2012-02-28,137.5600,173.4900,110.8700,61.2400
2012-02-29,137.0200,164.2900,110.7600,60.9900
2012-03-01,137.7300,166.6100,110.2600,61.3600
2012-03-02,137.3100,166.3400,110.5000,61.2700
2012-03-05,136.7500,165.6500,110.3400,61.8900
2012-03-06,134.7500,162.7000,110.5600,61.0700
2012-03-07,135.6900,163.6300,110.4600,61.4000
2012-03-08,137.0400,165.2800,110.2100,61.0800
2012-03-09,137.5700,166.3800,110.1900,61.3800
2012-03-12,137.5800,165.0700,110.2900,61.8300
2012-03-13,140.0600,162.3000,109.9200,63.0800
2012-03-14,139.9100,159.5700,109.3200,62.9100
2012-03-15,140.7200,161.0800,109.2700,62.8200
2012-03-16,140.3000,161.3000,109.2800,63.1800
2012-03-19,140.8500,161.5900,108.9300,63.6200
2012-03-20,140.4400,160.1300,109.0900,63.5300
2012-03-21,140.2100,160.2100,109.3500,63.4400
2012-03-22,139.2000,159.5700,109.4500,62.5700
2012-03-23,139.6500,161.5300,109.7000,62.9600
2012-03-26,141.6100,164.4000,109.6200,63.1900
2012-03-27,141.1700,163.2400,109.7400,63.2000
2012-03-28,140.4700,161.5100,109.7200,63.1000
2012-03-29,140.2300,161.2800,110.0200,63.1300
2012-03-30,140.8100,162.1200,109.8500,63.6500
2012-04-02,141.8400,162.9400,109.6200,64.1000
2012-04-03,141.2600,159.8900,109.1500,63.8500
2012-04-04,139.8600,157.2100,109.3800,63.1500
2012-04-05,139.7900,158.3100,109.6300,62.9100
2012-04-09,138.2200,159.3700,110.1100,62.2400
2012-04-10,135.9000,161.1000,110.1200,60.9000
